url_no,url,status,model,p_phishing,prediction,rank,feature,feature_value,shap_signed,abs_shap,direction
4,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,XGBoost (GA),0.9764,PHISHING,1,page_rank,0.0,2.350917,2.350917,PHISHING
4,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,XGBoost (GA),0.9764,PHISHING,2,ratio_digits_url,0.2580645161290322,0.677242,0.677242,PHISHING
4,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,XGBoost (GA),0.9764,PHISHING,3,nb_www,0.0,0.667276,0.667276,PHISHING
4,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,XGBoost (GA),0.9764,PHISHING,4,nb_hyperlinks,0.0,0.664354,0.664354,PHISHING
4,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,XGBoost (GA),0.9764,PHISHING,5,google_index,0.0,-0.65547,0.65547,BENIGN
4,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,XGBoost (GA),0.9764,PHISHING,6,length_url,62.0,-0.650929,0.650929,BENIGN
4,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,XGBoost (GA),0.9764,PHISHING,7,https_token,0.0,0.483476,0.483476,PHISHING
4,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,XGBoost (GA),0.9764,PHISHING,8,nb_qm,1.0,0.475842,0.475842,PHISHING
4,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,XGBoost (GA),0.9764,PHISHING,9,longest_word_path,10.0,-0.424878,0.424878,BENIGN
4,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,XGBoost (GA),0.9764,PHISHING,10,suspicious_tld,1.0,0.3975,0.3975,PHISHING
4,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,"Stacking (RF+XGB+LR, GA)",0.9702,PHISHING,1,page_rank,0.0,0.152321,0.152321,PHISHING
4,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,"Stacking (RF+XGB+LR, GA)",0.9702,PHISHING,2,nb_redirection,0.0,0.061099,0.061099,PHISHING
4,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,"Stacking (RF+XGB+LR, GA)",0.9702,PHISHING,3,whois_registered_domain,0.0,0.053957,0.053957,PHISHING
4,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,"Stacking (RF+XGB+LR, GA)",0.9702,PHISHING,4,nb_www,0.0,0.049058,0.049058,PHISHING
4,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,"Stacking (RF+XGB+LR, GA)",0.9702,PHISHING,5,ratio_digits_host,0.0434782608695652,0.032767,0.032767,PHISHING
4,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,"Stacking (RF+XGB+LR, GA)",0.9702,PHISHING,6,nb_semicolumn,0.0,0.032269,0.032269,PHISHING
4,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,"Stacking (RF+XGB+LR, GA)",0.9702,PHISHING,7,nb_hyperlinks,0.0,0.023763,0.023763,PHISHING
4,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,"Stacking (RF+XGB+LR, GA)",0.9702,PHISHING,8,ratio_extMedia,0.0,0.020802,0.020802,PHISHING
4,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,"Stacking (RF+XGB+LR, GA)",0.9702,PHISHING,9,nb_eq,2.0,0.020455,0.020455,PHISHING
4,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,"Stacking (RF+XGB+LR, GA)",0.9702,PHISHING,10,dns_record,0.0,0.010248,0.010248,PHISHING
